MatchClubPlayerID,PlayerID,PlayerTypeID,MatchID,ClubID,SubstitutedForPlayer,SubstitutionTime,Played
373,183758,3,692728,12,,,1
374,218252,3,692728,12,,,1
375,150185,2,692728,12,,,1
376,287841,2,692728,12,,,1
377,231192,2,692728,12,,,1
378,75574,1,692728,12,340613.0,70',1
379,213304,1,692728,12,,,1
380,124439,1,692728,12,382636.0,89',1
381,215961,4,692728,18,,,1
382,303608,3,692728,18,,,1
383,230822,3,692728,18,,,1
384,279290,3,692728,18,,,1
385,242942,3,692728,18,,,1
386,283228,2,692728,18,,,1
387,304164,2,692728,18,,,1
388,148641,2,692728,18,252481.0,88',1
389,315924,2,692728,18,336755.0,79',1
390,181028,2,692728,18,270302.0,90'+1',1
391,228431,1,692728,18,307660.0,79',1
392,312610,1,692728,12,,,0
393,304169,3,692728,12,,,0
394,228348,4,692728,12,,,0
395,288041,1,692728,18,,,0
396,342198,3,692728,18,,,0
397,318476,4,692728,18,,,0
398,171660,4,692728,18,,,0
399,328351,3,692728,18,,,0
400,131979,4,692727,24,,,1
401,254383,3,692727,24,,,1
402,206682,3,692727,24,,,1
403,252474,3,692727,24,,,1
404,256514,3,692727,24,,,1
405,171573,2,692727,24,256450.0,63',1
406,201606,2,692727,24,277851.0,63',1
407,318554,2,692727,24,,,1
408,158640,1,692727,24,204067.0,45'+1',1
409,210252,1,692727,24,318520.0,82',1
410,216617,2,692727,24,,,1
411,272338,4,692727,29,,,1
412,302798,3,692727,29,,,1
413,256476,3,692727,29,,,1
414,238109,3,692727,29,,,1
415,203868,2,692727,29,295771.0,73',1
416,202501,2,692727,29,,,1
417,297150,2,692727,29,295727.0,73',1
418,193452,3,692727,29,189531.0,63',1
419,249490,1,692727,29,,,1
420,340228,3,692727,29,257622.0,81',1
421,173404,2,692727,29,362613.0,81',1
422,300110,2,692727,24,,,0
423,280765,2,692727,24,,,0
424,259111,2,692727,24,,,0
425,268173,2,692727,24,,,0
426,268173,4,692727,24,,,0
427,257193,3,692727,24,,,0
428,305783,4,692727,29,,,0
429,327126,1,692727,29,,,0
430,297118,2,692727,29,,,0
431,286523,3,692727,29,,,0
432,56935,4,692714,1,,,1
433,215441,3,692714,1,,,1
434,319441,3,692714,1,,,1
435,304152,3,692714,1,,,1
436,252778,3,692714,1,,,1
437,277208,2,692714,1,,,1
438,255802,2,692714,1,,,1
439,288479,2,692714,1,,,1
440,351302,1,692714,1,284636.0,60',1
441,303508,1,692714,1,285358.0,60',1
442,221128,2,692714,1,,,1
443,186943,4,692714,21,316463.0,45'+2',1
444,200139,3,692714,21,,,1
445,234962,3,692714,21,,,1
446,287014,2,692714,21,203926.0,65',1
447,261317,3,692714,21,,,1
448,286778,3,692714,21,,,1
449,257844,2,692714,21,,,1
450,303512,2,692714,21,,,1
451,134066,2,692714,21,,,1
452,262566,1,692714,21,,,1
453,304130,2,692714,21,,,1
454,231098,2,692714,1,,,0
