,PlayerID,PlayerTypeID,ClubID,DateStarted
1982,257744,1,4,2021-01-01
1988,214446,1,4,2021-01-01
2001,293695,1,7,2021-01-01
2019,217281,1,4,2021-01-01
2033,228620,1,4,2021-01-01
2060,320956,1,4,2021-01-01
2075,240531,2,8,2021-01-01
2098,248648,3,8,2021-01-01
2130,283453,3,8,2021-01-01
2160,249711,3,8,2021-01-01
2179,171628,3,2,2021-01-01
2184,171628,3,28,2021-01-01
2197,200937,2,8,2021-01-01
2221,286198,2,11,2021-01-01
2231,286198,2,8,2021-01-01
2249,180955,2,8,2021-01-01
2264,269158,2,28,2021-01-01
2286,245843,2,8,2021-01-01
2307,159491,1,8,2021-01-01
2329,216183,1,8,2021-01-01
2351,251571,1,8,2021-01-01
2376,171623,3,10,2021-01-01
2403,194293,3,2,2021-01-01
2417,156309,3,14,2021-01-01
2446,217009,3,27,2021-01-01
2475,315921,3,10,2021-01-01
2501,232755,3,10,2021-01-01
2516,256489,3,8,2021-01-01
2535,215186,2,2,2021-01-01
2539,215186,2,11,2021-01-01
2553,219508,2,10,2021-01-01
2575,267116,2,10,2021-01-01
2596,211678,1,17,2021-01-01
2616,220573,1,10,2021-01-01
2644,318514,3,28,2021-01-01
2665,318514,3,13,2021-01-01
2672,121714,2,13,2021-01-01
2687,266026,2,27,2021-01-01
2712,302238,2,15,2021-01-01
2734,302238,2,13,2021-01-01
2738,235893,2,13,2021-01-01
2743,222765,1,15,2021-01-01
2761,254375,1,13,2021-01-01
2766,169515,3,9,2021-01-01
2789,231869,2,11,2021-01-01
2792,183779,3,11,2021-01-01
2803,126248,3,11,2021-01-01
2824,237164,3,11,2021-01-01
2848,96526,3,11,2021-01-01
2859,263560,3,10,2021-01-01
2870,115989,2,28,2021-01-01
2876,193171,2,11,2021-01-01
2902,260173,2,11,2021-01-01
2918,133111,2,11,2021-01-01
2929,280680,2,11,2021-01-01
2939,281523,1,7,2021-01-01
2958,146419,1,11,2021-01-01
2966,291252,1,14,2021-01-01
2986,240110,1,11,2021-01-01
3005,65434,2,11,2021-01-01
3031,245085,2,11,2021-01-01
3051,197050,3,12,2021-01-01
3068,276615,3,12,2021-01-01
3097,304169,3,12,2021-01-01
3118,183758,3,12,2021-01-01
3144,233460,3,8,2021-01-01
3173,150185,2,12,2021-01-01
3204,251673,2,28,2021-01-01
3207,251673,2,16,2021-01-01
3222,241245,2,12,2021-01-01
3235,159478,2,12,2021-01-01
3253,23761,2,12,2021-01-01
3256,186385,1,23,2021-01-01
3265,76098,2,12,2021-01-01
3288,304170,2,12,2021-01-01
3296,308587,1,15,2021-01-01
3310,308587,1,12,2021-01-01
3322,232052,2,14,2021-01-01
3336,235062,3,14,2021-01-01
3357,101934,3,14,2021-01-01
3389,260213,3,14,2021-01-01
3421,193663,3,14,2021-01-01
3434,167140,2,14,2021-01-01
3453,286669,2,14,2021-01-01
3474,233326,2,14,2021-01-01
3490,195992,2,14,2021-01-01
3500,183726,2,14,2021-01-01
3531,318536,2,27,2021-01-01
3546,245570,2,14,2021-01-01
3575,315922,1,14,2021-01-01
3578,201353,3,17,2021-01-01
3610,222188,3,16,2021-01-01
3645,255501,3,17,2021-01-01
3677,187782,3,22,2021-01-01
3700,266454,3,17,2021-01-01
3726,234315,3,17,2021-01-01
3739,253176,3,26,2021-01-01
3758,183764,3,17,2021-01-01
3780,75577,2,17,2021-01-01
3809,223034,2,17,2021-01-01
3825,174548,2,17,2021-01-01
3855,233041,2,17,2021-01-01
3879,116825,2,17,2021-01-01
3899,253255,2,17,2021-01-01
3916,254292,2,17,2021-01-01
3938,8894,2,17,2021-01-01
3959,254285,1,17,2021-01-01
3974,146067,1,17,2021-01-01
3994,156239,2,28,2021-01-01
4010,156239,2,17,2021-01-01
4014,183796,3,16,2021-01-01
4039,132237,3,16,2021-01-01
4068,294222,3,16,2021-01-01
4076,241486,3,16,2021-01-01
4096,245451,3,16,2021-01-01
4116,257193,3,27,2021-01-01
4129,249985,3,16,2021-01-01
4153,216609,2,16,2021-01-01
4185,152168,2,16,2021-01-01
4215,191693,2,16,2021-01-01
4239,201350,2,16,2021-01-01
4245,117830,1,16,2021-01-01
4261,267113,2,16,2021-01-01
4273,193898,2,14,2021-01-01
4280,299185,1,16,2021-01-01
4290,164106,2,1,2021-01-01
4296,127512,2,19,2021-01-01
4318,271075,3,5,2021-01-01
4339,271075,3,19,2021-01-01
