MatchClubPlayerID,Saves,Fouls,YellowCards,RedCards
1034,0,0,0,0
1042,0,0,0,0
1043,3,0,0,0
1044,3,0,0,0
1066,0,0,0,0
1071,0,0,0,0
1072,3,0,0,0
1073,1,1,0,0
1097,0,0,0,0
1100,0,0,0,0
1104,3,0,0,0
1105,2,0,0,0
1129,0,0,0,0
1131,0,0,0,0
1137,2,0,0,0
1138,1,1,0,0
1159,0,0,0,0
1164,0,0,0,0
1168,8,0,0,0
1169,0,0,0,0
1191,0,0,0,0
1197,0,0,0,0
1198,1,0,0,0
1199,2,0,0,0
1224,0,0,0,0
1232,0,0,0,0
1233,0,0,0,0
1234,0,1,0,0
1258,0,0,0,0
1264,0,0,0,0
1265,1,0,0,0
1266,10,0,0,0
1289,0,0,0,0
1294,0,0,0,0
1295,0,1,0,0
1317,0,0,0,0
1326,0,0,0,0
1328,2,0,0,0
1329,4,0,0,0
1351,0,0,0,0
1356,0,0,0,0
1358,3,0,0,0
1359,7,1,0,0
1382,0,0,0,0
1387,0,0,0,0
1390,1,0,0,0
1391,8,0,0,0
1413,0,0,0,0
1418,0,0,0,0
1423,2,0,0,0
1424,1,0,0,0
1445,0,0,0,0
1456,0,0,0,0
1457,0,0,0,0
1458,1,0,0,0
1483,0,0,0,0
1486,0,0,0,0
1488,1,0,0,0
1489,3,0,0,0
1510,0,0,0,0
1515,0,0,0,0
1519,2,0,0,0
1520,5,0,0,0
1542,0,0,0,0
1547,0,0,0,0
1549,10,0,0,0
1550,5,0,0,0
1573,0,0,0,0
1577,0,0,0,0
1581,3,0,0,0
1582,5,0,0,0
1607,0,0,0,0
1613,0,0,0,0
1614,1,0,0,0
1615,1,0,0,0
1638,0,0,0,0
1643,0,0,0,0
1644,3,0,0,0
1645,1,1,0,0
1668,0,0,0,0
1672,0,0,0,0
1673,6,0,0,0
1674,4,0,0,0
1697,0,0,0,0
1700,0,0,0,0
1704,5,0,0,0
1705,2,0,0,0
1732,0,0,0,0
1739,2,0,0,0
1763,0,0,0,0
1766,0,0,0,0
1768,1,1,0,0
1769,4,0,0,0
1793,0,0,0,0
1797,0,0,0,0
1799,3,0,0,0
1800,4,0,0,0
1824,0,0,0,0
1827,0,0,0,0
1830,2,0,0,0
1831,6,0,0,0
1857,0,0,0,0
1861,8,0,0,0
1886,0,0,0,0
1888,0,0,0,0
1891,4,0,0,0
1892,4,0,0,0
1917,0,0,0,0
1920,0,0,0,0
1922,4,0,0,0
1923,5,0,0,0
1947,0,0,0,0
1949,0,0,0,0
1952,2,0,0,0
1953,4,0,0,0
1975,0,0,0,0
1979,0,0,0,0
1982,3,0,0,0
1983,4,0,0,0
2008,0,0,0,0
2009,0,0,0,0
2012,0,0,0,0
2013,5,0,0,0
2038,0,0,0,0
2039,0,0,0,0
2043,0,0,0,0
2044,0,0,0,0
2070,0,0,0,0
2072,0,0,0,0
2073,1,1,0,0
2074,5,0,0,0
2095,0,0,0,0
2100,0,0,0,0
2103,4,0,0,0
2104,1,0,0,0
2125,0,0,0,0
2130,0,0,0,0
2136,4,0,0,0
2137,4,0,0,0
2158,0,0,0,0
2160,0,0,0,0
2163,0,0,0,0
2167,0,0,0,0
2168,0,0,0,0
2193,0,0,0,0
2198,0,0,0,0
2199,1,0,0,0
2200,7,0,0,0
2223,0,0,0,0
2229,0,0,0,0
2230,2,0,0,0
2231,4,0,0,0
2253,0,0,0,0
2260,3,0,0,0
2261,4,0,0,0
2286,0,0,0,0
2289,0,0,0,0
2292,4,1,0,0
2293,0,0,0,0
2317,0,0,0,0
2319,0,0,0,0
2324,3,0,0,0
2325,4,0,0,0
2347,0,0,0,0
2351,0,0,0,0
2355,1,0,0,0
2356,2,0,0,0
2379,0,0,0,0
2382,0,0,0,0
2385,3,0,0,0
2386,4,0,0,0
2410,0,0,0,0
2414,0,0,0,0
2416,2,0,0,0
2417,1,0,0,0
2438,0,0,0,0
2442,0,0,0,0
2446,2,0,0,0
2447,4,0,0,0
2469,0,0,0,0
2475,0,0,0,0
2476,0,0,0,0
2477,5,0,0,0
2498,0,0,0,0
2505,0,0,0,0
2508,4,0,0,0
2509,1,0,0,0
2531,0,0,0,0
2538,0,0,0,0
2540,1,0,0,0
2541,2,1,0,0
2566,0,0,0,0
2568,0,0,0,0
2571,2,0,0,0
2572,4,0,0,0
2588,0,0,0,0
2595,0,0,0,0
2600,0,0,0,0
2602,1,0,0,0
2603,1,0,0,0
2628,0,0,0,0
2633,1,0,0,0
2634,6,0,0,0
2655,0,0,0,0
2661,0,0,0,0
2664,6,1,0,0
2687,0,0,0,0
2691,0,0,0,0
2695,1,0,0,0
2696,4,1,0,0
2717,0,0,0,0
2722,0,0,0,0
2726,3,1,0,0
2727,4,0,0,0
2748,0,0,0,0
2754,0,0,0,0
2758,3,0,0,0
2759,2,1,0,0
2785,0,0,0,0
2786,0,0,0,0
2790,1,0,0,0
2791,2,0,0,0
2816,0,0,0,0
2818,0,0,0,0
2821,4,0,0,0
2822,4,0,0,0
