88455,1,SEBASTIÁN FERREIRA
211678,2,FAFÀ PICAULT
287792,2,ROBERTO AVILA
323247,1,NELSON QUIÑONES
321918,1,THORLEIFUR ÚLFARSSON
183778,3,DEANDRE YEDLIN
257114,3,CHRISTOPHER MCVEY
307210,3,HARVEY NEVILLE
200139,3,DAMION LOWE
316344,3,NOAH ALLEN
316347,3,MODESTO MÉNDEZ
319038,3,RYAN SAILOR
198531,2,JEAN MOTA 
237823,2,ROBERT TAYLOR
308522,2,EMERSON RODRÍGUEZ
266021,2,GEORGE ACOSTA
317505,2,ABEL CAPUTO
177550,1,CORENTIN JEAN
284834,1,LEONARDO CAMPANA
252827,2,SHAAN HUNDAL
103029,3,MARTÍN CÁCERES
303469,3,JALEN NEAL
96526,2,JONATHAN PÉREZ
156228,2,GASTÓN BRUGMAN
270611,2,RICARD PUIG
127502,2,DOUGLAS COSTA
285452,3,CARLOS HARVEY
295339,1,PRESTON JUDD
199690,3,FRANCO ESCOBAR
24836,3,GIORGIO CHIELLINI
288146,2,DANIEL TREJO
77653,2,GARETH BALE
132709,1,CRISTIAN TELLO
213304,1,DÉNIS BOUANGA
184081,3,ALAN BENÍTEZ
246393,3,CALLUM MONTGOMERY
66955,2,JONATHAN GONZALEZ
260554,2,KERVIN ARRIAGA
48484,1,LUIS AMARILLA
287784,1,BONGOKUHLE HLONGWANE
267611,1,MENDER GARCÍA
219275,3,SHAQ MOORE
280847,3,AHMED LONGMIRE
246392,3,RYAN SPAULDING
294135,2,BEN REVENO
287368,2,DYLAN BORRERO
317465,2,NOEL BUCK
231574,2,NACHO GIL
250685,1,GIACOMO VRIONI
325410,1,ESMIR BAJRAKTAREVIC
185792,3,THIAGO MARTINS
334151,3,SAMUEL KWAKU OWUSU
45702,3,STEPHEN TURNBULL
304350,2,GABRIEL PEREIRA
276287,1,MATÍAS PELLEGRINI
254450,1,KEVIN O'TOOLE
319082,3,JUAN CASTILLO
252382,2,HASSAN NDAM
334199,2,JESÚS CASTELLANO
273178,2,STEVEN SSERWADDA
304164,2,DANIEL EDELMAN
215818,2,LUQUINHAS 
258065,1,PATRYK KLIMALA
