,PlayerID,PlayerTypeID,ClubID,DateStarted
9535,256489,3,8,2021-01-01
9562,256489,3,10,2021-01-01
9607,215186,2,26,2021-01-01
9612,215186,2,2,2021-01-01
9616,215186,2,11,2021-01-01
9630,215186,2,10,2021-01-01
9672,219508,2,10,2021-01-01
9734,218440,2,10,2021-01-01
9793,188093,2,10,2021-01-01
9826,267116,2,10,2021-01-01
9897,267116,2,28,2021-01-01
9899,211678,1,29,2021-01-01
9903,211678,1,17,2021-01-01
9923,211678,1,10,2021-01-01
9978,220573,1,4,2021-01-01
9985,220573,1,10,2021-01-01
10036,220573,1,12,2021-01-01
10047,76584,1,10,2021-01-01
10086,99500,2,13,2021-01-01
10114,318514,3,28,2021-01-01
10141,318514,3,13,2021-01-01
10179,117724,2,13,2021-01-01
10199,85010,2,13,2021-01-01
10226,158604,2,13,2021-01-01
10238,158604,2,28,2021-01-01
10270,121714,2,13,2021-01-01
10310,266026,2,27,2021-01-01
10343,266026,2,13,2021-01-01
10366,302238,2,15,2021-01-01
10395,302238,2,13,2021-01-01
10417,302238,2,12,2021-01-01
10433,235893,2,13,2021-01-01
10496,147207,2,13,2021-01-01
10514,67310,2,13,2021-01-01
10561,222765,1,15,2021-01-01
10587,222765,1,13,2021-01-01
10604,222765,1,10,2021-01-01
10615,254375,1,13,2021-01-01
10641,280764,3,11,2021-01-01
10707,169515,3,1,2021-01-01
10713,169515,3,9,2021-01-01
10736,169515,3,11,2021-01-01
10786,231869,2,11,2021-01-01
10835,183779,3,11,2021-01-01
10872,183779,3,28,2021-01-01
10896,126248,3,11,2021-01-01
10942,126248,3,13,2021-01-01
10961,103848,2,11,2021-01-01
10985,245773,2,11,2021-01-01
11035,237164,3,15,2021-01-01
11039,237164,3,11,2021-01-01
11092,237164,3,12,2021-01-01
11113,96526,3,11,2021-01-01
11155,263560,3,3,2021-01-01
11158,263560,3,10,2021-01-01
11169,263560,3,11,2021-01-01
11181,263560,3,14,2021-01-01
11213,115989,2,28,2021-01-01
11219,115989,2,11,2021-01-01
11261,193171,2,11,2021-01-01
11326,193171,2,28,2021-01-01
11354,75571,2,11,2021-01-01
11381,260173,2,11,2021-01-01
11433,285452,2,11,2021-01-01
11439,133111,2,11,2021-01-01
11474,280680,2,11,2021-01-01
11505,281523,1,7,2021-01-01
11530,281523,1,11,2021-01-01
11579,235949,1,11,2021-01-01
11624,146419,1,11,2021-01-01
11685,291252,1,14,2021-01-01
11705,291252,1,11,2021-01-01
11713,240110,1,11,2021-01-01
11757,65434,2,11,2021-01-01
11851,245085,2,11,2021-01-01
11940,197050,3,12,2021-01-01
12027,199904,3,12,2021-01-01
12057,276615,3,12,2021-01-01
12135,304169,3,12,2021-01-01
12164,183758,3,12,2021-01-01
12223,183758,3,8,2021-01-01
12253,233460,3,8,2021-01-01
12288,233460,3,12,2021-01-01
12329,233460,3,19,2021-01-01
12340,150185,2,12,2021-01-01
12412,150185,2,26,2021-01-01
12439,251673,2,10,2021-01-01
12443,251673,2,28,2021-01-01
12448,251673,2,16,2021-01-01
12463,251673,2,12,2021-01-01
12511,241245,2,12,2021-01-01
12577,159478,2,3,2021-01-01
12585,159478,2,12,2021-01-01
12632,159478,2,7,2021-01-01
12651,23761,2,12,2021-01-01
12661,208046,2,12,2021-01-01
12667,208046,2,20,2021-01-01
12695,186385,1,23,2021-01-01
12713,186385,1,12,2021-01-01
12757,76098,2,12,2021-01-01
12825,304170,2,12,2021-01-01
12834,308587,1,15,2021-01-01
12849,308587,1,12,2021-01-01
12883,293668,1,12,2021-01-01
12905,232052,2,14,2021-01-01
12972,235062,3,17,2021-01-01
12979,235062,3,14,2021-01-01
13057,101934,3,14,2021-01-01
13157,150315,3,14,2021-01-01
13186,260213,3,14,2021-01-01
13281,317737,3,14,2021-01-01
13310,217325,3,14,2021-01-01
13338,217325,3,11,2021-01-01
13356,193663,3,14,2021-01-01
13396,193663,3,28,2021-01-01
13416,249706,2,14,2021-01-01
13448,167140,2,14,2021-01-01
13517,286669,2,14,2021-01-01
13567,233326,2,14,2021-01-01
13642,195992,2,14,2021-01-01
13710,183726,2,14,2021-01-01
13807,318536,2,27,2021-01-01
13829,318536,2,14,2021-01-01
13831,245570,2,14,2021-01-01
13900,251802,2,14,2021-01-01
13931,251804,1,14,2021-01-01
13949,251804,1,17,2021-01-01
13962,252934,2,14,2021-01-01
13982,315922,1,14,2021-01-01
13992,201353,3,17,2021-01-01
14087,222188,3,16,2021-01-01
14129,222188,3,17,2021-01-01
14194,255501,3,17,2021-01-01
14283,187782,3,22,2021-01-01
14313,187782,3,17,2021-01-01
14359,266454,3,17,2021-01-01
14408,266454,3,1,2021-01-01
14410,234315,3,17,2021-01-01
14483,253176,3,26,2021-01-01
14511,253176,3,17,2021-01-01
14518,183764,3,17,2021-01-01
