MatchClubPlayerID,PlayerTypeID,Goals,Assists,Fouls,Offsides,Shots,ShotsOnTarget,YellowCards,RedCards
139,3,0,0,1,0,0,0,0,0
140,3,0,0,0,0,0,0,0,0
141,2,0,1,2,0,2,1,0,0
142,2,0,1,2,0,1,1,0,0
143,2,0,0,1,0,0,0,0,0
144,1,1,0,1,0,1,1,0,0
145,1,0,0,0,0,0,0,1,0
146,1,1,0,4,0,1,1,0,0
148,2,0,0,0,0,0,0,0,0
149,2,0,0,0,0,0,0,0,0
150,2,0,0,0,0,0,0,0,0
151,1,0,0,0,0,0,0,0,0
152,2,0,0,0,0,0,0,0,0
153,3,0,0,0,0,0,0,0,0
154,3,0,0,0,0,0,0,0,0
156,1,0,0,0,0,0,0,0,0
158,3,0,0,2,0,0,0,0,0
159,3,0,0,1,0,0,0,0,0
160,3,0,0,2,0,0,0,0,0
161,3,0,0,3,0,0,0,1,0
162,2,1,0,1,0,1,1,0,0
163,2,0,0,0,0,0,0,1,0
164,2,0,0,3,0,0,0,0,0
165,1,0,1,1,1,3,2,0,0
166,2,0,0,1,0,0,0,0,0
167,1,2,1,0,1,5,4,0,0
169,3,0,0,1,0,0,0,1,0
170,3,0,0,0,0,0,0,0,0
171,3,0,0,3,0,2,0,0,0
172,2,0,0,1,0,0,0,0,0
173,2,0,0,0,0,1,0,0,0
174,2,0,0,1,0,1,0,0,0
175,1,0,0,3,0,1,0,0,0
176,2,0,0,1,0,0,0,0,0
177,1,0,0,1,1,4,3,0,0
178,2,0,0,0,1,3,2,0,0
179,1,0,0,0,0,0,0,0,0
180,2,0,0,0,0,0,0,0,0
182,3,0,0,0,0,0,0,0,0
183,3,0,0,0,0,0,0,0,0
184,3,0,0,0,0,0,0,0,0
185,3,0,0,0,0,0,0,0,0
186,1,0,0,0,0,0,0,0,0
188,3,0,0,1,0,0,0,0,0
189,3,0,0,1,0,0,0,0,0
190,1,0,0,0,0,1,0,0,0
191,3,0,0,0,0,3,1,0,0
192,1,1,1,4,1,5,1,0,0
193,2,0,0,1,0,0,0,0,0
194,2,0,0,0,0,0,0,0,0
195,1,0,0,1,1,5,1,1,0
196,1,0,0,1,1,1,1,0,0
197,1,0,1,2,0,4,2,0,0
199,3,0,0,2,0,2,0,1,0
200,3,0,0,1,0,0,0,1,0
201,3,0,0,4,0,1,0,0,0
202,2,0,0,0,0,0,0,0,0
203,3,0,0,2,0,1,0,0,0
204,2,0,0,1,0,2,1,0,0
205,2,0,0,1,0,0,0,0,0
206,2,0,0,1,0,3,0,0,0
207,1,0,0,1,1,0,0,0,0
208,1,0,0,1,1,2,0,0,0
