MatchID,Location,Date,Attendance
659660,New York City USA ,2023-04-08,20095
659661,Harrison New Jersey USA ,2023-04-08,15939
659667,Chicago Illinois USA ,2023-04-08,12128
659669,Houston Texas USA ,2023-04-08,19128
659670,Nashville Tennessee USA ,2023-04-08,26999
659668,Kansas City Kansas USA ,2023-04-08,18467
659671,Sandy Utah USA ,2023-04-08,17506
659672,Seattle Washington USA ,2023-04-08,31789
659673,Vancouver Canada ,2023-04-08,17029
659647,Atlanta Georgia USA ,2023-04-01,43511
659649,Columbus Ohio USA ,2023-04-01,19624
659650,Cincinnati Ohio USA ,2023-04-01,25082
659646,Carson California USA ,2023-04-01,22008
659651,Foxborough Massachusetts USA ,2023-04-01,18521
659659,Orlando Florida USA ,2023-04-01,20115
659658,Chester Pennsylvania USA ,2023-04-01,18550
659648,Toronto Canada ,2023-04-01,22801
659653,Chicago Illinois USA ,2023-04-01,8621
659652,Frisco Texas USA ,2023-04-01,19096
659654,St. Louis Missouri USA ,2023-04-01,22423
659655,Commerce City Colorado USA ,2023-04-01,16298
659657,San Jose California USA ,2023-04-01,12786
659656,Vancouver Canada ,2023-04-01,16046
659632,Portland Oregon USA ,2023-03-25,24077
659633,Charlotte North Carolina USA ,2023-03-25,32540
659634,Columbus Ohio USA ,2023-03-25,19249
659636,Washington District of Columbia USA ,2023-03-25,16509
659637,Fort Lauderdale Florida USA ,2023-03-25,17699
659635,Chester Pennsylvania USA ,2023-03-25,18725
659639,Austin Texas USA ,2023-03-25,20738
659638,Houston Texas USA ,2023-03-25,13024
659641,Saint Paul Minnesota USA ,2023-03-25,19609
659640,Nashville Tennessee USA ,2023-03-25,28453
659642,Kansas City Kansas USA ,2023-03-25,18629
659643,Sandy Utah USA ,2023-03-25,19508
659644,Los Angeles California USA ,2023-03-25,22163
659645,San Jose California USA ,2023-03-25,12434
659618,Seattle Washington USA ,2023-03-18,32515
659623,Atlanta Georgia USA ,2023-03-18,42648
659620,Montreal Canada ,2023-03-18,23352
659621,Foxborough Massachusetts USA ,2023-03-18,14930
659622,New York City USA ,2023-03-18,17281
659625,Harrison New Jersey USA ,2023-03-18,15412
659619,Orlando Florida USA ,2023-03-18,18123
659624,Toronto Canada ,2023-03-18,20701
659626,Chicago Illinois USA ,2023-03-18,7815
659629,Frisco Texas USA ,2023-03-18,17467
659627,Houston Texas USA ,2023-03-18,19047
659628,St. Louis Missouri USA ,2023-03-18,22423
659630,Commerce City Colorado USA ,2023-03-18,12538
659631,Carson California USA ,2023-03-18,23112
659617,Los Angeles California USA ,2023-03-12,22007
659604,Charlotte North Carolina USA ,2023-03-11,31538
659605,Vancouver Canada ,2023-03-11,16780
659610,Washington District of Columbia USA ,2023-03-11,15994
659609,Cincinnati Ohio USA ,2023-03-11,25513
659606,New York City USA ,2023-03-11,24489
659607,Chester Pennsylvania USA ,2023-03-11,18520
659608,Toronto Canada ,2023-03-11,25796
659613,Saint Paul Minnesota USA ,2023-03-11,19614
659611,Nashville Tennessee USA ,2023-03-11,25958
659612,Kansas City Kansas USA ,2023-03-11,18612
659614,Sandy Utah USA ,2023-03-11,20052
659615,Portland Oregon USA ,2023-03-11,23386
659616,San Jose California USA ,2023-03-11,13383
659590,Los Angeles California USA ,2023-03-04,22202
659593,Atlanta Georgia USA ,2023-03-04,42817
659595,Columbus Ohio USA ,2023-03-04,20391
659594,Fort Lauderdale Florida USA ,2023-03-04,15628
659596,Foxborough Massachusetts USA ,2023-03-04,13176
659591,Harrison New Jersey USA ,2023-03-04,18474
659592,Orlando Florida USA ,2023-03-04,18062
659600,Austin Texas USA ,2023-03-04,20738
659599,Chicago Illinois USA ,2023-03-04,19671
659598,Frisco Texas USA ,2023-03-04,19906
659597,St. Louis Missouri USA ,2023-03-04,22423
659601,Commerce City Colorado USA ,2023-03-04,14954
659602,San Jose California USA ,2023-03-04,18000
659603,Seattle Washington USA ,2023-03-04,30011
659588,Portland Oregon USA ,2023-02-27,22925
659589,Seattle Washington USA ,2023-02-26,30032
659576,Nashville Tennessee USA ,2023-02-25,28051
659582,Atlanta Georgia USA ,2023-02-25,67538
659581,Charlotte North Carolina USA ,2023-02-25,69345
659580,Washington District of Columbia USA ,2023-02-25,17397
659577,Cincinnati Ohio USA ,2023-02-25,25513
659578,Fort Lauderdale Florida USA ,2023-02-25,17655
659583,Orlando Florida USA ,2023-02-25,24088
659579,Chester Pennsylvania USA ,2023-02-25,18510
659585,Austin Texas USA ,2023-02-25,20738
659584,Frisco Texas USA ,2023-02-25,19096
659587,Vancouver Canada ,2023-02-25,19614
